deal_name,owner_code,client_code,deal_status,actual_close_date,closure_probability,deal_value,tentative_close_date,deal_stage,product_deal,sector,created_date
Naruto,OWNER_001,COMPANY089,Open,,High,489360.0,2026-02-26,B. Sales Qualified Leads,Service + Spectra,Mining,2025-12-26
Sasuke,OWNER_001,COMPANY091,Open,,Unknown,17616960.0,2026-02-28,B. Sales Qualified Leads,nan,Mining,2025-09-15
Sasuke,OWNER_002,COMPANY124,Open,,Medium,611700.0,2026-02-26,E. Proposal/Commercials Sent,nan,Powerline,2025-11-12
Sakura,OWNER_002,COMPANY046,Open,,Low,2348928.0,2026-03-20,E. Proposal/Commercials Sent,nan,Powerline,2025-10-14
Sakura,OWNER_002,COMPANY148,Open,,High,428190.0,2026-02-26,E. Proposal/Commercials Sent,nan,Powerline,2025-10-10
Sakura,OWNER_002,COMPANY047,Open,,Medium,2936160.0,2026-02-12,E. Proposal/Commercials Sent,nan,Powerline,2025-07-07
Sakura,OWNER_003,COMPANY197,Open,,Low,305850000.0,2024-09-30,D. Feasibility,Pure Service,Tender,2024-08-30
Sakura,OWNER_001,COMPANY177,On Hold,,Medium,,2025-06-11,M. Projects On Hold,nan,Powerline,2024-11-17
Sakura,OWNER_001,COMPANY094,Open,,Medium,,2025-06-12,M. Projects On Hold,nan,Renewables,2024-11-17
Sakura,OWNER_001,COMPANY178,On Hold,,Medium,,2025-06-23,M. Projects On Hold,nan,Renewables,2024-08-09
Sakura,OWNER_004,COMPANY149,Open,,High,4281900.0,2026-01-31,H. Work Order Received,Spectra + DMO,DSP,2025-11-19
Sakura,OWNER_004,COMPANY149,Open,,Low,6117000.0,2026-03-25,F. Negotiations,Hardware,DSP,2025-11-19
Sakura,OWNER_002,COMPANY171,Open,,Low,1835100.0,2026-02-20,E. Proposal/Commercials Sent,nan,Renewables,2025-05-21
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-02-28,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.523200001,2026-03-31,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08
